keyword,avg_monthly_searches,competition,intent,funnel_stage,cluster,target_url,sources
automatización con jobber,,Unknown,Comercial,MOFU/BOFU,Jobber / Automatización,https://ngsolutions.training/producto/organizacion-y-automatizacion-con-jobber/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
capacitación de limpieza,50.0,Low,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
clases de limpieza,50.0,Low,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
clientes para negocio de limpieza en usa,,Unknown,Comercial,MOFU/BOFU,Mercado local / Clientes,https://ngsolutions.training/producto/ruta-de-crecimiento-ng-organiza-y-escala/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
coaching para duenos de negocio de limpieza,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
coaching para dueños de negocio de limpieza,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
como buscar clientes para limpiar casas,50.0,Medium,Informativa,TOFU/MOFU,Mercado local / Clientes,https://ngsolutions.training/producto/ruta-de-crecimiento-ng-organiza-y-escala/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
como escalar una compania de limpieza,,Unknown,Informativa,TOFU/MOFU,Otros,https://ngsolutions.training/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
crm para negocio de limpieza en español,,Unknown,Comercial,MOFU/BOFU,Otros,https://ngsolutions.training/,3.Keyword Stats 2025-12-26 at 12_55_19.csv
curso limpieza profesional,50.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos de capacitación para personal de limpieza,50.0,Low,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos de limpieza,50.0,Medium,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos de limpieza online,50.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos de limpieza profesional,50.0,Medium,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos de quimicos para limpieza,50.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos limpieza,50.0,Low,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos limpieza online,50.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos online de limpieza,0.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos para limpieza,50.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos para personal de limpieza,50.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos para personal de limpieza gratis,50.0,Low,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos personal de limpieza,0.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos productos de limpieza,50.0,Medium,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cómo conseguir clientes para limpieza de casas,,Unknown,Informativa,TOFU/MOFU,Mercado local / Clientes,https://ngsolutions.training/producto/ruta-de-crecimiento-ng-organiza-y-escala/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
cómo escalar una compañía de limpieza en estados unidos,,Unknown,Informativa,TOFU/MOFU,Otros,https://ngsolutions.training/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
formacion profesional limpieza,0.0,Unknown,Comercial,MOFU/BOFU,Otros,https://ngsolutions.training/,Keyword Stats 2025-12-30 at 02_27_33.csv
formación limpieza,50.0,Unknown,Comercial,MOFU/BOFU,Otros,https://ngsolutions.training/,Keyword Stats 2025-12-30 at 02_27_33.csv
formación limpieza profesional,0.0,Unknown,Comercial,MOFU/BOFU,Otros,https://ngsolutions.training/,Keyword Stats 2025-12-30 at 02_27_33.csv
jobber en español,50.0,Medium,Comercial,MOFU/BOFU,Jobber / Automatización,https://ngsolutions.training/producto/organizacion-y-automatizacion-con-jobber/,3.Keyword Stats 2025-12-26 at 12_55_19.csv
jobber español,,Unknown,Comercial,MOFU/BOFU,Jobber / Automatización,https://ngsolutions.training/producto/organizacion-y-automatizacion-con-jobber/,3.Keyword Stats 2025-12-26 at 12_55_19.csv
jobber para empresa de limpieza,,Unknown,Comercial,MOFU/BOFU,Jobber / Automatización,https://ngsolutions.training/producto/organizacion-y-automatizacion-con-jobber/,3.Keyword Stats 2025-12-26 at 12_55_19.csv
marketing para empresa de limpieza mentoría,,Unknown,Transaccional,BOFU,Marketing & Ventas / Marca,https://ngsolutions.training/producto/transforma-tu-empresa-de-limpieza-en-una-marca-reconocida-y-automatizada-con-procesos-de-venta-efectivos/,3.Keyword Stats 2025-12-26 at 12_55_19.csv
mentoria negocio de limpieza usa,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoria para empresa de limpieza en usa,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoria para empresas de limpieza en usa,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoria para escalar empresa de limpieza,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoría 1 1 para empresa de limpieza,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
mentoría 1 a 1 para empresa de limpieza,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoría de procesos para empresa de limpieza,,Unknown,Transaccional,BOFU,Procesos / Precios,https://ngsolutions.training/producto/mentoria-intensiva-para-empresas-de-limpieza-en-fase-0/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
mentoría finanzas para empresa de limpieza,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
mentoría jobber en español,,Unknown,Transaccional,BOFU,Jobber / Automatización,https://ngsolutions.training/producto/organizacion-y-automatizacion-con-jobber/,"1.Keyword Stats 2025-12-26 at 12_51_46.csv, 3.Keyword Stats 2025-12-26 at 12_55_19.csv"
mentoría marketing empresa de limpieza,,Unknown,Transaccional,BOFU,Marketing & Ventas / Marca,https://ngsolutions.training/producto/transforma-tu-empresa-de-limpieza-en-una-marca-reconocida-y-automatizada-con-procesos-de-venta-efectivos/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
mentoría marketing para empresa de limpieza,,Unknown,Transaccional,BOFU,Marketing & Ventas / Marca,https://ngsolutions.training/producto/transforma-tu-empresa-de-limpieza-en-una-marca-reconocida-y-automatizada-con-procesos-de-venta-efectivos/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
mentoría negocio de limpieza en estados unidos,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
mentoría negocio de limpieza en usa,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoría para conseguir más clientes de limpieza en usa,,Unknown,Transaccional,BOFU,Mercado local / Clientes,https://ngsolutions.training/producto/ruta-de-crecimiento-ng-organiza-y-escala/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoría para empresa de limpieza en usa,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoría para empresas de limpieza en usa,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
mentoría para escalar empresa de limpieza,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
mentoría para organizar procesos de limpieza,,Unknown,Transaccional,BOFU,Procesos / Precios,https://ngsolutions.training/producto/mentoria-intensiva-para-empresas-de-limpieza-en-fase-0/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
mentoría para organizar procesos de limpieza y precios,,Unknown,Transaccional,BOFU,Procesos / Precios,https://ngsolutions.training/producto/mentoria-intensiva-para-empresas-de-limpieza-en-fase-0/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoría precios negocio de limpieza,,Unknown,Transaccional,BOFU,Procesos / Precios,https://ngsolutions.training/producto/mentoria-intensiva-para-empresas-de-limpieza-en-fase-0/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
mentoría quickbooks empresa de limpieza,,Unknown,Transaccional,BOFU,Finanzas / QuickBooks,https://ngsolutions.training/producto/implementacion-de-quickbooks-online-para-empresas-de-limpieza/,3.Keyword Stats 2025-12-26 at 12_55_19.csv
mentoría quickbooks para empresa de limpieza,,Unknown,Transaccional,BOFU,Finanzas / QuickBooks,https://ngsolutions.training/producto/implementacion-de-quickbooks-online-para-empresas-de-limpieza/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
mentoría uno a uno empresa de limpieza,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
precios empresa de limpieza mentoría,,Unknown,Transaccional,BOFU,Procesos / Precios,https://ngsolutions.training/producto/mentoria-intensiva-para-empresas-de-limpieza-en-fase-0/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
profesional de la limpieza,50.0,Unknown,Comercial,MOFU/BOFU,Otros,https://ngsolutions.training/,Keyword Stats 2025-12-30 at 02_27_33.csv
profesional de limpieza,50.0,Low,Comercial,MOFU/BOFU,Otros,https://ngsolutions.training/,Keyword Stats 2025-12-30 at 02_27_33.csv
quickbooks negocio de limpieza,,Unknown,Comercial,MOFU/BOFU,Finanzas / QuickBooks,https://ngsolutions.training/producto/implementacion-de-quickbooks-online-para-empresas-de-limpieza/,3.Keyword Stats 2025-12-26 at 12_55_19.csv
quickbooks para empresa de limpieza,,Unknown,Comercial,MOFU/BOFU,Finanzas / QuickBooks,https://ngsolutions.training/producto/implementacion-de-quickbooks-online-para-empresas-de-limpieza/,3.Keyword Stats 2025-12-26 at 12_55_19.csv
